DAY	1996	Difference (1996)	St (1996)	1997	Difference (1997)	St (1997)	1998	Difference(1998)	St (1998)	1999	Difference(1999)	St (1999)	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Average		
			0			0			0																						
1-Jul	98	14.28455285	14.28455285	86	4.325203252	4.325203252	91	6.739837398	6.739837398	84			89	84	90	73	82	91	93	95	85	95	87	92	105	82	90	85			85
2-Jul	97	13.28455285	27.56910569	90	8.325203252	12.6504065	88	3.739837398	10.4796748	82			91	87	90	81	81	89	93	85	87	90	84	94	93	85	93	87			172
3-Jul	97	13.28455285	40.85365854	93	11.32520325	23.97560976	91	6.739837398	17.2195122	87			93	87	87	87	86	86	93	82	91	89	83	95	99	76	87	79			251
4-Jul	90	6.284552846	47.13821138	91	9.325203252	33.30081301	91	6.739837398	23.95934959	88			95	84	89	86	88	86	91	86	90	91	85	92	98	77	84	85			336
5-Jul	89	5.284552846	52.42276423	84	2.325203252	35.62601626	91	6.739837398	30.69918699	90			96	86	93	80	90	89	90	88	88	80	88	90	100	83	86	84			420
6-Jul	93	9.284552846	61.70731707	84	2.325203252	37.95121951	89	4.739837398	35.43902439	91			96	87	93	84	90	82	81	87	82	87	89	90	98	83	87	84			504
7-Jul	93	9.284552846	70.99186992	75	-6.674796748	31.27642276	93	8.739837398	44.17886179	82			96	87	89	87	89	76	80	82	88	86	94	94	93	79	89	90			594
8-Jul	91	7.284552846	78.27642276	87	5.325203252	36.60162602	95	10.7398374	54.91869919	86			91	89	89	90	87	88	82	82	90	82	97	94	95	88	90	90			684
9-Jul	93	9.284552846	87.56097561	84	2.325203252	38.92682927	95	10.7398374	65.65853659	87			96	91	90	89	88	89	84	89	89	84	96	91	97	88	90	91			775
10-Jul	93	9.284552846	96.84552846	87	5.325203252	44.25203252	91	6.739837398	72.39837398	87			99	87	91	84	89	78	84	86	87	84	90	92	95	87	87	93			868
11-Jul	90	6.284552846	103.1300813	84	2.325203252	46.57723577	91	6.739837398	79.13821138	82			96	90	84	84	90	83	90	85	89	86	93	95	90	80	85	92			960
12-Jul	91	7.284552846	110.4146341	88	6.325203252	52.90243902	86	1.739837398	80.87804878	77			93	90	77	86	89	86	91	87	93	90	90	95	84	87	90	93			1053
13-Jul	93	9.284552846	119.699187	86	4.325203252	57.22764228	88	3.739837398	84.61788618	73			91	86	82	87	91	84	91	86	85	84	91	97	90	78	89	92			1145
14-Jul	93	9.284552846	128.9837398	90	8.325203252	65.55284553	87	2.739837398	87.35772358	81			93	82	88	84	91	87	91	84	88	89	91	90	90	85	90	90			1235
15-Jul	82	-1.715447154	127.2682927	91	9.325203252	74.87804878	91	6.739837398	94.09756098	81			93	82	91	86	84	84	91	81	89	89	94	80	90	86	86	89			1324
16-Jul	91	7.284552846	134.5528455	91	9.325203252	84.20325203	87	2.739837398	96.83739837	86			93	84	93	88	84	85	91	86	89	90	89	85	92	87	83	88			1412
17-Jul	96	12.28455285	146.8373984	89	7.325203252	91.52845528	90	5.739837398	102.5772358	82			91	87	93	88	84	89	93	89	88	88	87	87	93	91	86	93			1505
18-Jul	95	11.28455285	158.1219512	89	7.325203252	98.85365854	91	6.739837398	109.3170732	87			97	88	93	88	87	90	93	89	90	82	83	89	93	87	82	92			1597
19-Jul	96	12.28455285	170.4065041	89	7.325203252	106.1788618	95	10.7398374	120.0569106	88			100	90	93	88	84	89	96	88	91	80	90	94	91	90	85	91			1688
20-Jul	99	15.28455285	185.6910569	90	8.325203252	114.504065	91	6.739837398	126.796748	90			99	87	91	88	88	89	93	86	94	82	91	91	84	86	76	93			1781
21-Jul	91	7.284552846	192.9756098	89	7.325203252	121.8292683	91	6.739837398	133.5365854	90			93	84	95	89	89	90	93	86	95	86	94	92	90	87	82	93			1874
22-Jul	95	11.28455285	204.2601626	84	2.325203252	124.1544715	89	4.739837398	138.2764228	91			96	87	91	86	89	91	91	79	92	84	95	94	95	85	83	92			1966
23-Jul	91	7.284552846	211.5447154	87	5.325203252	129.4796748	91	6.739837398	145.0162602	93			87	90	89	81	93	91	86	82	87	87	97	92	97	84	88	88			2054
24-Jul	93	9.284552846	220.8292683	88	6.325203252	135.804878	91	6.739837398	151.7560976	93			82	84	87	82	95	90	87	87	88	88	94	92	97	86	87	91			2145
25-Jul	84	0.284552846	221.1138211	89	7.325203252	143.1300813	86	1.739837398	153.495935	91			75	82	84	84	89	92	88	87	89	90	95	90	98	89	88	90			2235
26-Jul	84	0.284552846	221.398374	89	7.325203252	150.4552846	88	3.739837398	157.2357724	93			82	88	86	87	87	94	93	87	87	92	95	94	98	86	89	91			2326
27-Jul	82	-1.715447154	219.6829268	91	9.325203252	159.7804878	80	-4.260162602	152.9756098	93			88	90	89	87	84	92	95	90	90	90	93	94	97	82	92	92			2418
28-Jul	79	-4.715447154	214.9674797	91	9.325203252	169.1056911	88	3.739837398	156.7154472	93			91	84	91	89	89	90	96	89	93	89	90	90	97	86	90	94			2512
29-Jul	90	6.284552846	221.2520325	89	7.325203252	176.4308943	89	4.739837398	161.4552846	93			89	89	91	88	87	83	91	87	92	85	94	93	94	86	82	93			2605
30-Jul	91	7.284552846	228.5365854	88	6.325203252	182.7560976	90	5.739837398	167.195122	97			87	89	88	84	89	78	91	92	90	82	95	96	96	90	84	94			2699
31-Jul	87	3.284552846	231.8211382	72	-9.674796748	173.0813008	86	1.739837398	168.9349593	99			86	87	90	88	90	84	94	90	88	85	95	96	88	80	85	93			2792
1-Aug	86	2.284552846	234.1056911	80	-1.674796748	171.4065041	86	1.739837398	170.6747967	96			86	84	93	84	91	82	95	92	89	89	96	91	94	87	81	89			2881
2-Aug	90	6.284552846	240.3902439	84	2.325203252	173.7317073	82	-2.260162602	168.4146341	93			81	84	91	84	90	86	95	92	92	83	84	96	99	89	84	94			2975
3-Aug	84	0.284552846	240.6747967	88	6.325203252	180.0569106	84	-0.260162602	168.1544715	88			84	84	91	84	91	88	97	94	91	90	92	97	94	88	88	94			3069
4-Aug	91	7.284552846	247.9593496	89	7.325203252	187.3821138	86	1.739837398	169.8943089	89			88	86	91	82	91	91	98	97	91	92	95	85	87	90	90	97			3166
5-Aug	93	9.284552846	257.2439024	88	6.325203252	193.7073171	90	5.739837398	175.6341463	91			91	88	93	84	90	88	96	96	92	92	93	96	90	88	89	95			3261
6-Aug	88	4.284552846	261.5284553	84	2.325203252	196.0325203	89	4.739837398	180.3739837	93			91	84	97	82	84	86	89	98	94	89	93	93	86	88	92	88			3349
7-Aug	91	7.284552846	268.8130081	84	2.325203252	198.3577236	89	4.739837398	185.1138211	93			91	86	87	84	81	80	97	98	90	91	91	93	84	86	95	88			3437
8-Aug	84	0.284552846	269.097561	80	-1.674796748	196.6829268	86	1.739837398	186.8536585	93			91	88	87	84	82	82	96	100	86	92	93	94	92	83	90	92			3529
9-Aug	90	6.284552846	275.3821138	73	-8.674796748	188.0081301	82	-2.260162602	184.5934959	91			96	87	86	86	84	85	95	103	85	93	94	91	88	89	89	93			3622
10-Aug	89	5.284552846	280.6666667	80	-1.674796748	186.3333333	87	2.739837398	187.3333333	90			95	88	88	87	75	83	96	103	85	93	94	95	87	90	86	94			3716
11-Aug	88	4.284552846	284.9512195	86	4.325203252	190.6585366	88	3.739837398	191.0731707	96			89	86	89	84	82	87	88	100	88	95	95	94	85	90	83	91			3807
12-Aug	86	2.284552846	287.2357724	88	6.325203252	196.9837398	84	-0.260162602	190.8130081	98			89	86	91	81	80	88	84	90	81	86	95	95	88	90	88	90			3897
13-Aug	84	0.284552846	287.5203252	88	6.325203252	203.3089431	86	1.739837398	192.5528455	97			89	81	91	87	77	86	81	100	81	90	96	95	91	89	84	89			3986
14-Aug	86	2.284552846	289.804878	87	5.325203252	208.6341463	80	-4.260162602	188.2926829	98			89	87	89	89	82	90	87	99	84	90	89	94	88	83	85	90			4076
15-Aug	89	5.284552846	295.0894309	88	6.325203252	214.9593496	82	-2.260162602	186.0325203	93			94	84	88	90	82	92	86	102	87	90	90	88	85	73	87	90			4166
16-Aug	90	6.284552846	301.3739837	91	9.325203252	224.2845528	86	1.739837398	187.7723577	93			97	90	90	86	84	89	89	101	86	88	90	90	91	67	88	90			4256
17-Aug	91	7.284552846	308.6585366	91	9.325203252	233.6097561	84	-0.260162602	187.5121951	96			99	91	91	89	86	90	86	101	85	87	91	92	87	66	89	89			4345
18-Aug	91	7.284552846	315.9430894	89	7.325203252	240.9349593	87	2.739837398	190.2520325	98			101	91	93	90	86	90	88	97	86	88	93	94	87	77	89	88			4433
19-Aug	90	6.284552846	322.2276423	89	7.325203252	248.2601626	90	5.739837398	195.9918699	98			101	87	91	90	89	89	88	95	90	90	92	96	84	82	86	89			4522
20-Aug	89	5.284552846	327.5121951	88	6.325203252	254.5853659	79	-5.260162602	190.7317073	89			97	86	93	87	88	92	93	96	90	88	93	93	84	84	89	88			4610
21-Aug	90	6.284552846	333.796748	82	0.325203252	254.9105691	84	-0.260162602	190.4715447	91			87	88	93	88	82	94	91	99	85	88	93	94	88	84	92	89			4699
22-Aug	91	7.284552846	341.0813008	79	-2.674796748	252.2357724	87	2.739837398	193.2113821	91			86	90	91	88	84	93	88	104	82	85	94	98	84	88	93	92			4791
23-Aug	91	7.284552846	348.3658537	81	-0.674796748	251.5609756	87	2.739837398	195.9512195	90			88	88	95	90	84	87	87	98	78	81	93	92	88	90	93	87			4878
24-Aug	91	7.284552846	355.6504065	82	0.325203252	251.8861789	88	3.739837398	199.6910569	80			92	93	93	89	87	85	83	95	83	86	90	93	86	84	88	89			4967
25-Aug	84	0.284552846	355.9349593	84	2.325203252	254.2113821	90	5.739837398	205.4308943	82			92	90	91	88	82	84	85	94	78	87	89	95	85	82	84	84			5051
26-Aug	88	4.284552846	360.2195122	87	5.325203252	259.5365854	91	6.739837398	212.1707317	89			90	91	88	89	86	84	88	92	83	90	90	99	90	82	86	86			5137
27-Aug	84	0.284552846	360.504065	90	8.325203252	267.8617886	89	4.739837398	216.9105691	88			90	91	84	90	88	86	88	88	80	83	89	95	90	86	88	85			5222
28-Aug	86	2.284552846	362.7886179	90	8.325203252	276.1869919	90	5.739837398	222.6504065	90			92	81	82	91	90	86	90	88	86	75	87	95	80	90	91	83			5305
29-Aug	88	4.284552846	367.0731707	91	9.325203252	285.5121951	93	8.739837398	231.3902439	91			92	86	82	89	87	85	90	89	89	86	84	93	86	92	92	81			5386
30-Aug	84	0.284552846	367.3577236	91	9.325203252	294.8373984	93	8.739837398	240.1300813	91			88	81	78	88	88	85	88	89	89	79	85	90	80	87	88	74			5460
31-Aug	82	-1.715447154	365.6422764	88	6.325203252	301.1626016	91	6.739837398	246.8699187	84			87	82	77	89	87	85	80	86	88	79	89	92	89	90	89	84			5544
1-Sep	80	-3.715447154	361.9268293	88	6.325203252	307.4878049	87	2.739837398	249.6097561	88			79	80	84	88	82	85	85	84	81	71	90	95	91	90	90	87			5631
2-Sep	73	-10.71544715	351.2113821	91	9.325203252	316.8130081	84	-0.260162602	249.3495935	91			81	75	84	86	80	88	86	83	85	78	91	96	89	84	90	90			5721
3-Sep	87	3.284552846	354.495935	93	11.32520325	328.1382114	77	-7.260162602	242.0894309	84			82	73	89	87	81	87	85	88	83	79	92	95	85	90	92	89			5810
4-Sep	84	0.284552846	354.7804878	81	-0.674796748	327.4634146	90	5.739837398	247.8292683	93			87	81	95	87	82	85	88	91	85	83	84	80	77	89	82	92			5902
5-Sep	87	3.284552846	358.0650407	81	-0.674796748	326.7886179	91	6.739837398	254.5691057	96			81	90	93	84	84	81	83	89	88	83	85	78	85	89	89	87			5989
6-Sep	89	5.284552846	363.3495935	82	0.325203252	327.1138211	89	4.739837398	259.3089431	96			66	88	91	73	81	81	85	85	87	85	90	75	85	88	91	85			6074
7-Sep	89	5.284552846	368.6341463	86	4.325203252	331.4390244	90	5.739837398	265.0487805	91			66	87	88	75	86	83	80	86	89	84	91	69	92	88	90	85			6159
8-Sep	89	5.284552846	373.9186992	88	6.325203252	337.7642276	89	4.739837398	269.7886179	91			75	86	87	81	73	85	83	88	90	87	93	73	88	91	84	84			6243
9-Sep	91	7.284552846	381.203252	84	2.325203252	340.0894309	79	-5.260162602	264.5284553	77			80	86	91	82	84	86	83	89	88	84	92	81	83	90	84	87			6330
10-Sep	84	0.284552846	381.4878049	80	-1.674796748	338.4146341	78	-6.260162602	258.2682927	87			82	89	95	79	84	84	85	89	87	80	94	84	84	89	86	85			6415
11-Sep	86	2.284552846	383.7723577	82	0.325203252	338.7398374	81	-3.260162602	255.0081301	87			84	87	95	80	84	84	84	89	83	75	96	86	83	89	90	86			6501
12-Sep	88	4.284552846	388.0569106	86	4.325203252	343.0650407	84	-0.260162602	254.7479675	87			86	84	90	81	81	86	82	86	87	81	89	87	81	90	92	78			6579
13-Sep	78	-5.715447154	382.3414634	87	5.325203252	348.3902439	89	4.739837398	259.4878049	86			87	84	75	84	79	88	70	85	86	80	86	89	81	87	86	75			6654
14-Sep	79	-4.715447154	377.6260163	87	5.325203252	353.7154472	87	2.739837398	262.2276423	87			86	86	78	82	79	88	80	81	88	82	91	92	83	82	78	77			6731
